title,track
Preventing Errors Before They Happen,Java Development Tools
Techniques for Getting More Kids; Especially Girls; Involved in STEAM,Java Community
Move Data Between Apache Hadoop and Oracle Database for Customer 360-Degree Analytics,Oracle Code: Containers; Microservices; DevOps; Databases; APIs; and more
Meet the Oracle JavaFX and JDK Client Team,Java Clients and User Interfaces
HarfBuzz: Modern OpenType Layout Comes to JDK 9 (JEP 258),Java Clients and User Interfaces
JUnit 5,Core Java Platform
Blockchain Introduction for Developers,Oracle Code: Containers; Microservices; DevOps; Databases; APIs; and more
Machine Learning Applied to Regulatory Technology,Oracle Code: Containers; Microservices; DevOps; Databases; APIs; and more
Goin’ Mobile: Developing JavaFX Apps for iOS and Android with Java 9,Java Clients and User Interfaces
Changes to the JDK Release Model,Core Java Platform
Five Killer Tricks to Make Your Java Web App Look Awesome,Developer Community Day: Community
Learn the Concepts Behind Those 10 Java Challenges and Eliminate Stressful Bugs,Developer Community Day: Community
JGrounds: Playgrounds App for Java,Java Development Tools
Autonomous Driving and Factory Automation: JSR 282 Brings Java to New Domains,Java and Devices
The Legacy Developer’s Guide to Java 9,Java Development Tools
Distinguish Pop Music from Heavy Metal with Apache Spark MLlib,Oracle Code: Containers; Microservices; DevOps; Databases; APIs; and more
How to Be Accepted to Speak at a Conference,Java Community
Microservices Mishaps,Java Development Tools
Securing Your Java Application: Is SecurityManager the Answer?,Core Java Platform
JSF 2.3 in Action,Java; Cloud; and Server-Side Development
Java; Pi’s; and Flying Sharks: Or How to Create a Java Airship in <127 Grams,Java and Devices
TomTom Cloud Healer: Cloud-Agnostic Self-Managed Instance Recycling for Java,Java; Cloud; and Server-Side Development
Deep Learning and Image Recognition for Java Developers,Java Development Tools
How to Run a Successful Open Source Java EE Project,Java; Cloud; and Server-Side Development
Meet the JCP and Java Standards Leaders,Java Community
Database Actions with Java 9 Stream Syntax Instead of SQL,Java Development Tools
Machine Learning Exposed: Workshop,Java and Devices
DevOps and Cloud-Native Microservices Workshop with MySQL Database,Oracle Code: Containers; Microservices; DevOps; Databases; APIs; and more
How to Replicate Data in the Cloud in Real Time,Oracle Code: Containers; Microservices; DevOps; Databases; APIs; and more
Apache Maven BOF,Java Development Tools
Introduction to Spark Streaming for Real-Time Data Analysis,Java; Cloud; and Server-Side Development
JavaFX Real-World Applications: Reloaded,Java Clients and User Interfaces
Modernizing an Enterprise Application with JavaFX 8,Java Clients and User Interfaces
Big Data Processing with Apache Spark: Scala or Java?,Java; Cloud; and Server-Side Development
Confessions of a Java Educator: 10 Java Insights I Wish I’d Had Earlier,Core Java Platform
DevOps: State of the Union,Oracle Code: Containers; Microservices; DevOps; Databases; APIs; and more
From VMs to Containers: Decompose and Migrate Old Legacy Java EE Applications,Java; Cloud; and Server-Side Development
Automated Functional Web Testing on the JVM with Geb,Java; Cloud; and Server-Side Development
How to Write and Ship Better Code with the Apache NetBeans IDE,Java Development Tools
No More Duplicate Transactions: A Java API for At-Most-Once COMMIT,Java; Cloud; and Server-Side Development
Herding Cats: Harvard Dataverse’s Approach to Technical Community Management,Java; Cloud; and Server-Side Development
Modules Are Coming...to Libraries??,Core Java Platform
